特殊陈列拍照,Special display and photo
主负责人,Chief executive
客户名称或负责人,Customer name or person in charge
低价,low price
缺货,Out of stock
未贴价格签,No price tag
高价,high price
锁码,Lock code
拜访签到,Visit a check-in
库存盘点,Inventory inventory
拜访签退,Visit a sign back
进店签到,Enter a shop to sign in
离店签退,Sign off from the shop
成交日期,Date of transaction
number控件,Number control
变更负责人,Change the person in charge
编辑渠道客户,Editor channel customer
终端拜访执行统计表,Terminal visit execution statistics
新增终端,New terminal
编辑终端,Edit terminal
产品铺货统计表,Product pavement statistics
新增KA,New KA
编辑KA,Editor KA
编辑产品,Edited product
新增产品,New product
编辑班次,Edit class
新增班次,New shift
编辑考勤日历,Edit the attendance calendar
新增考勤日历,New attendance calendar
编辑考勤组,Edit attendance unit
查看考勤组成员,View the attendance group members
新增考勤组,New attendance unit
此处留空,Leave a blank here
金额输入,Amount input
品相检查,Phase examination
新品有效期default,New product validity period default
新品有效期month,New product validity period month
新品有效期year,New product validity period year
无限制,Unlimited
班次信息,Class information
查询-是否新品,Query - whether or not new
个人信息页面,Personal information page
产品管理,product management
产品管理详情,Details of product management
转换的营销组织和主岗位,Transfer marketing organization and main post
要转换的营销组织和主岗位！,To transform the marketing organization and the main position!
待选岗位,Post selection
必须拍照,Have to take pictures
可选拍照,Take a photo
制定便捷计划,Make convenient plans
客户姓名,Customer name
首页客户分析,Home page customer analysis
查询-人员姓名,Query - person name
查询-人员手机号,Query - staff cell phone number
图片,picture
区域名称路径,Area name path
营销组织ID,Marketing organization ID
品项变化,Item change
是否新品,Whether the new product is new
实际拜访时间,Real visit time
业代拜访执行详情,Business visit
新增人员,New personnel
编辑人员,Editors
终端客户拜访趋势分析,End customer visit trend analysis
终端客户结构分析,End customer structure analysis
首页终端客户拜访趋势分析（放大）,Home page terminal customer visit trend analysis (enlargement)
已办事项,Run matters
流程名称,Process name
流程,Technological process
当前步骤,Current steps
接收日期,Receiving date
处理日期,Processing date
发起人,Initiator
隐藏状态,Concealment state
树导航,Tree navigation
建议零售价(元),Suggested retail price (yuan)
箱重(KG),Box weight (KG)
保质时长(天),Long duration (day)
模块3,Module 3
模块7,Module 7
模块8,Module 8
模块9,Module 9
模块10,Module 10
模块11,Module 11
模块12,Module 12
模块13,Module 13
模块14,Module 14
模块15,Module 15
模块16,Module 16
模块17,Module 17
模块24,Module 24
模块25,Module 25
模块26,Module 26
模块27,Module 27
模块31,Module 31
模块32,Module 32
模块41,Module 41
模块33,Module 33
首页终端客户结构分析（放大）,Home page terminal customer structure analysis (amplification)
test_报表首页,Test_ report page
人员明细test2,Personnel test2
查询-渠道客户编码,Query channel customer code
KA系统编码,KA system coding
查询-KA系统编码,Query -KA system coding
业务员-验证,Salesman - Verification
查询-开始工作日期,Query - start work date
查询-结束工作日期,Query - end work date
工作日期,Work date
打卡日期,Date of beating
拜访时间：,Visit time:
渠道编码,Channel coding
助理,assistant
审批管理,Examination and approval management
终端客户情况折线图,End customer line diagram
费用管理,Cost management
业代拜访测试1026,Industry visit test 1026
大区经理,District Manager
终端客户结构分析（统计）,End customer structure analysis (Statistics)
模块测试表单,Module test form
模板测试表单,Template test form
无限制,Unlimited
查询-产品品牌,Query product brand
查询-产品品类,Query product category
终端客户情况分析表,End customer analysis table
申请时间,Application time
12月,December
10月,October
11月,November
8月,August
6月,June
4月,April
2月,February
9月,September
7月,July
5月,May
3月,March
1月,January
所属区域,Belong to the region
这里有行文字,There are lines of text
员工考勤汇总,Staff attendance summary
拜访工作,Visit a job
主管,Executive director
模板测试-新增终端,Template test - new terminal
模板测试-终端列表,Template test terminal list
手机端时间,Mobile phone end time
模板测试-控件,Template test - control
按钮11,Button 11
模板测试-控件测试,Template test control test
文本框,Text box
时期选择,Time selection
日期区间,Date interval
电话号码,Phone number
选择框,Selection box
排序,sort
拍照控件,Photo control
下拉列表,Spinner
级联筛选,Cascade screening
选择树,Selection tree
定位控件,Positioning control
数字区间,Digital interval
开发-控件菜单调试,Development control menu debug
开发-控件菜单,Development - control menu
表格,form
模板测试-终端详情,Template test - terminal details
模板测试-进店签到,Template test - enter shop sign in
签到定位,Sign in and locate
模板测试-拜访签退,Template test visit sign back
签退定位,Sign back location
模板测试-店面工作,Template testing storefront work
控件标题2,Control Title 2
控件标题33,Control Title 33
启用34,Enable 34
模板测试-终端管理,Template test terminal management
终端编号,Terminal number
模板测试-看板二开,Template test - Kanban two open
模板测试-空白测试,Template test blank test
模板测试-店面检查,Template test - store check
物料使用是否达标,Whether the use of materials is up to the standard
模板测试-switchpage,Template test -switchpage
模板测试-报表页面,Template test report page
承德市,Chengde City
今日看板,Today's Kanban
调试专用-新控件,Debug special - new controls
级联,cascade
下拉列表框,combobox
大文本框,Large text box
日期区间（年月日）,Date interval (year and month)
排序按钮,Sort button
调试专用-已有控件,Debugging dedicated - existing controls
数字区间选择,Digital interval selection
电话号码输入,Telephone number input
日期（年月日）,Date (year and month)
测试web编辑,Test web editing
应用副名称,Application vice name
应用名称,apply name
8.0应用页面入口列表,8 application page entry list
8.0应用页面入口新增,8 application page entry
应用,application
开订单列表web端2,Open order list web end 2
订单门店,Order store
订-单列表2,Order list 2
下单日期,Order date
订单金额,Order amount
订-单列表,Order list
简易订单填写,Simple order filling
订单状态,Order status
简易订单列表,Simple order list
我的订单管理,My order management
钱,money
id,ID
考勤统计2,Attendance statistics 2
货架排面数量,Shelf Number
上报时间,Reporting time
冰箱牌面数量,Number of refrigerator deck
生动化检查列表,Vividness checklist
海报数量,Number of posters
拜访小结列表,Visit a summary list
密码,Password
检查用户新增,Check users to add
用户名,User name
调试专用-输入控件,Debug dedicated - input controls
产品品牌2,Product brand 2
产品品牌1,Product brand 1
产品品牌4,Product brand 4
产品品牌3,Product brand 3
产品品牌5,Product brand 5
是否采纳,Whether to adopt
我要提建议,I want to make a suggestion
截图,screenshot
应用端,Application end
问题描述,Problem description
提交日期,Date of submission
我的建议反馈,Feedback from my suggestion
控件名称,Control name
控件文本值,Control text value
3.如果用图片来说明问题，请上传（最多5张）,3. if you use pictures to illustrate problems, please upload (up to 5 sheets).
2.我们存在哪些不足（详细描述）,2. what are our shortcomings (detailed description)
1.请选择您正在使用的应用端,1. please select the application side you are using
建议反馈,Suggestion feedback
店铺到达,Shop arrival
当前位置,current location
冰箱排面数量,Number of refrigerators
我的建议,My suggestion
控件ID,Control ID
控件测试-显示类,Control test - display class
调试专用-显示类控件,Debug special - display class controls
按钮（带边框）,Button (with a border)
按钮（绑定事件）,Button (binding event)
文字控件,Text control
文字(3行）,Text (3 lines)
文字(1行）,Text (1 lines)
按钮(橙色背景）,Button (orange background)
按钮控件,Button control
按钮(蓝色字体）,Button (blue font)
文字控件(1行）,Text control (1 lines)
文字控件（3行）,Text control (3 lines)
按钮(黑字橙背景）,Button (black word orange background)
按钮(蓝字灰背景）,Button (blue gray background)
数字输入（千位分隔符）,Digital input (1000 bit separator)
金额（负数）,Amount (negative)
金额（1位小数）,Amount (1 decimal)
数字输入（1位小数）,Digital input (1 bit decimal)
金额（千位分隔）,Amount (thousand separated)
电话号码（无国编）,Telephone number (no country editor)
电话号码（国编）,Telephone number (country editor)
大文本框（50字）,Large text box (50 words)
电话号码（手机校验）,Telephone number (cell phone check)
数字输入（10-100）,Digital input (10-100)
金额输入（100-500）,Amount input (100-500)
电话号码（短信）,Telephone number (SMS)
电话号码（可国编）,Telephone number (country editor)
电话号码（拨打）,Telephone number (dialing)
调试专用-输入类控件,Debug special - input class controls
文本框（10字）,Text box (10 words)
数字输入（个）,Digital input (a)
数字输入控件,Digital input control
电话号码控件,Telephone number control
金额输入控件,Amount input control
日期（到秒）,Date (to second)
调试专用-时间类控件,Debug special - time class controls
日期（到天）,Date (to day)
日期（单位秒）,Date (per unit second)
数字区间控件,Digital interval control
时期选择控件,Time selection control
日期区间控件,Date interval control
日期（年月日）控件,Date (year and month) control
调试专用-功能类控件,Debugging dedicated - function class controls
附件控件,Attachment control
排序按钮控件,Sort button control
选择按钮,Select button
选择树（允许搜索）,Select a tree (allow search)
级联（叶节related）,Cascade (leaf node related)
级联（单选）,Cascade (Dan Xuan)
级联（简要显示）,Cascading (brief display)
下拉搜索（多选）,Drop-down search (multi selection)
选择框（多选）,Selection box (multiple selection)
下拉列表（选项改变）,Drop-down list (option change)
下拉搜索（单选）,Drop-down search (Dan Xuan)
下拉列表（绑定事件）,Drop-down list (binding event)
级联（隐藏根节点）,Cascading (hidden root node)
选择框（单选）,Selection box (Dan Xuan)
级联（叶节indivi）,Cascade (leaf node indivi)
级联（显示根节点）,Cascade (display root node)
下拉选择树,Drop-down selection tree
选择树（不展开节点）,Select a tree (no expansion node)
选择框（button模式）,Selection box (button mode)
级联（叶节gather）,Cascade (leaf node gather)
导航选择树,Navigation selection tree
调试专用-选择类控件,Debug special - select class controls
选择树（全展节点）,Selection tree (full extension node)
选择框（3项排列）,Selection box (3 items)
级联（多选）,Cascade (multi selection)
级联（完整显示）,Cascading (complete display)
选择树（多选）,Selection tree (multi selection)
选择树控件,Select tree control
下拉列表控件,Drop-down list control
下拉（搜索）控件,Drop-down (search) control
选择框控件,Select box control
级联控件,Cascade control
南,south
北,north
东,east
西,west
金额输入提交,Amount input submission
大文本提交,Large text submission
数字输入提交,Digital input submission
电话号码6提交,Telephone number 6 submission
电话号码3提交,Telephone number 3 submission
数字输入3提交,Digital input 3 submission
电话号码2提交,Telephone number 2 submission
数字输入4提交,Digital input 4 submission
电话号码5提交,Telephone number 5 submission
数字输入1提交,Digital input 1 submission
电话号码4提交,Telephone number 4 submission
数字输入2提交,Digital input 2 submission
电话号码提交,Telephone number submission
电话号码1提交,Telephone number 1 submission
金额4提交,Amount 4 submission
金额2提交,Amount 2 submission
金额3提交,Amount 3 submission
金额1提交,Amount 1 submission
文本提交,Text submission
数字区间提交,Digital interval submission
Web端,Web end
APP端（iOS）,APP end (iOS)
其他,Other
APP端（Android）,APP end (Android)
输入名称,Input name
未采纳,Not adopted
已采纳,Have adopted
已拒绝,Have refused
控件标题3,Control title 3
问题中心,Problem center
组织维度名称,Organization dimension name
组名,Group name
开始日期,Start date
审核日期,Date of audit
结束日期,End date
问题分类,Problem classification
组织分类名称,Organization classification name
队名,Team name
严重等级,Severity grade
拒绝,refuse
采纳,Adopt
WEB端,WEB end
APP端(iOS),APP end (iOS)
APP端(Android),APP end (Android)
用户体验优化,User experience Optimization
逻辑错误,Logical error
页面缺陷,Page defects
系统报错,System error
查询-是否采纳,Query - whether or not to adopt
查询-问题描述,Query - problem description
小组,group
建议反馈详情,Suggestion for feedback details
提交用户,Submitting a user
审核用户,Audit user
组织分类,Organization classification
功能操作不方便？使用时遇到系统问题？或有更好的功能建议？欢迎您随时提出来！,Is the functional operation inconvenient? Do you encounter a system problem when you use it? Or have better functional recommendations? You are welcome to mention it at any time!
详细描述,Detailed description
问题等级,Problem level
审核,To examine
Test主管拜访详情,Test supervisor visit details
拜访执行,Visit the execution
按拜访完成率排名,Ranking by call completion rate
按拜访成功率排名,Ranking by visiting success rate
调试专用-终端管理,Debug special - terminal management
调试-终端客户管理,Debug terminal customer management
调试-客户管理,Debug - customer management
调试-渠道客户管理,Debug - channel customer management
code路径编码,Code path coding
供货商名称,Supplier name
流程规则2,Process rule 2
流程规则1,Process rule 1
流程规则,Process rules
